cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30
737052.617939815,737052.614467593,737052.61099537,737052.607523148,737052.6040509259,737052.600578704,737052.597106481,737052.5936342591,737052.590162037,737052.586689815,737052.583217593,737052.57974537,737052.576273148,737052.5728009259,737052.569328704,737052.565856481,737052.5623842591,737052.558912037,737052.555439815,737052.551967593,737052.54849537,737052.545023148,737052.5415509259,737052.538078704,737052.534606481,737052.5311342591,737052.527662037,737052.524189815,737052.520717593,737052.51724537
737048.589918982,737048.586446759,737048.582974537,737048.579502315,737048.576030093,737048.57255787,737048.5690856479,737048.5656134259,737048.562141204,737048.558668982,737048.555196759,737048.551724537,737048.548252315,737048.544780093,737048.54130787,737048.5378356479,737048.5343634259,737048.530891204,737048.527418982,737048.523946759,737048.520474537,737048.517002315,737048.513530093,737048.51005787,737048.5065856479,737048.5031134259,737048.499641204,737048.496168982,737048.492696759,737048.489224537
737047.583368056,737047.5798958329,737047.5764236109,737047.572951389,737047.569479167,737047.566006944,737047.562534722,737047.5590625,737047.555590278,737047.552118056,737047.5486458329,737047.5451736109,737047.541701389,737047.538229167,737047.534756944,737047.531273148,737047.5278009259,737047.5243287041,737047.520856482,737047.517384259,737047.513912037,737047.510439815,737047.506967593,737047.50349537,737047.500023148,737047.4965509259,737047.4930787041,737047.489606482,737047.486134259,737047.482662037
737044.597083333,737044.5936111109,737044.590138889,737044.586666667,737044.5831944441,737044.579722222,737044.57625,737044.572777778,737044.5693055559,737044.565810185,737044.562337963,737044.5588657409,737044.5553935191,737044.5519212959,737044.548449074,737044.544976852,737044.54150463,737044.538032407,737044.534560185,737044.531087963,737044.5276157409,737044.5241435191,737044.5206712959,737044.517199074,737044.513726852,737044.51025463,737044.506782407,737044.503310185,737044.499837963,737044.4963657409
737042.586527778,737042.5830555559,737042.579583333,737042.576111111,737042.5726388891,737042.5691666671,737042.5656944441,737042.562222222,737042.55875,737042.555277778,737042.5518055559,737042.548333333,737042.544861111,737042.5413888891,737042.5379166671,737042.5344444441,737042.530972222,737042.5275,737042.524027778,737042.5205555559,737042.517083333,737042.513611111,737042.5101388891,737042.5066666671,737042.5031944441,737042.499722222,737042.49625,737042.492777778,737042.4893055559,737042.485833333
737041.6663194441,737041.6628472221,737041.659375,737041.6559027779,737041.6524305559,737041.648958333,737041.6454861109,737041.642013889,737041.638541667,737041.6350694441,737041.6315972221,737041.628125,737041.6246527779,737041.6211805559,737041.617708333,737041.6142361109,737041.610763889,737041.607291667,737041.6038194441,737041.6003472221,737041.596875,737041.5934027779,737041.5899305559,737041.586458333,737041.5829861109,737041.579513889,737041.576041667,737041.5725694441,737041.5690972221,737041.565625
737026.586747685,737026.583275463,737026.579803241,737026.576331018,737026.572858796,737026.5693865741,737026.5659143521,737026.56244213,737026.558969907,737026.555497685,737026.552025463,737026.548553241,737026.545081018,737026.541608796,737026.5381365741,737026.5346643521,737026.53119213,737026.527719907,737026.524247685,737026.520775463,737026.517303241,737026.513831018,737026.510358796,737026.5068865741,737026.5034143521,737026.49994213,737026.496469907,737026.492997685,737026.489525463,737026.486053241
737021.589918982,737021.586446759,737021.582974537,737021.579502315,737021.576030093,737021.57255787,737021.5690856479,737021.5656134259,737021.562141204,737021.558668982,737021.555196759,737021.551724537,737021.548252315,737021.544780093,737021.54130787,737021.5378356479,737021.5343634259,737021.530891204,737021.527418982,737021.523946759,737021.520474537,737021.517002315,737021.513530093,737021.51005787,737021.5065856479,737021.5031134259,737021.499641204,737021.496168982,737021.492696759,737021.489224537
737019.606944444,737019.603472222,737019.6,737019.596527778,737019.593055556,737019.589583333,737019.586111111,737019.5826388891,737019.5791666671,737019.575694444,737019.572222222,737019.56875,737019.565277778,737019.561805556,737019.558333333,737019.554861111,737019.5513888891,737019.5479166671,737019.544444444,737019.540972222,737019.5375,737019.534027778,737019.530555556,737019.527083333,737019.523611111,737019.5201388891,737019.5166666671,737019.513194444,737019.509722222,737019.50625
737016.610243056,737016.606770833,737016.6032986109,737016.5998263891,737016.596354167,737016.592881945,737016.589409722,737016.5859375,737016.582465278,737016.578993056,737016.575520833,737016.5720486109,737016.5685763891,737016.565104167,737016.561631945,737016.558159722,737016.5546875,737016.551215278,737016.547743056,737016.544270833,737016.5407986109,737016.5373263891,737016.533854167,737016.530381945,737016.526909722,737016.5234375,737016.519965278,737016.516493056,737016.513020833,737016.5095486109
737013.582280093,737013.57880787,737013.5753356479,737013.5718634259,737013.5683912041,737013.564918982,737013.561446759,737013.557974537,737013.554502315,737013.551030093,737013.54755787,737013.5440856479,737013.5406134259,737013.5371412041,737013.533668982,737013.530196759,737013.526724537,737013.523252315,737013.519780093,737013.51630787,737013.5128356479,737013.5093634259,737013.5058912041,737013.502418982,737013.498946759,737013.495474537,737013.492002315,737013.488530093,737013.48505787,737013.4815856479
737010.598854167,737010.5953819441,737010.5919097221,737010.5884375,737010.5849652779,737010.5814930559,737010.578020833,737010.574548611,737010.571076389,737010.567604167,737010.5641319441,737010.5606597221,737010.5571875,737010.5537152779,737010.5502430559,737010.546770833,737010.543298611,737010.539826389,737010.536354167,737010.5328819441,737010.5294097221,737010.5259375,737010.5224652779,737010.5189930559,737010.515520833,737010.512048611,737010.508576389,737010.505104167,737010.5016319441,737010.4981597221
737008.577881944,737008.574409722,737008.5709375,737008.567465278,737008.563993056,737008.560520833,737008.557048611,737008.5535763891,737008.5501041671,737008.546631944,737008.543159722,737008.5396875,737008.536215278,737008.532743056,737008.529270833,737008.525798611,737008.5223263891,737008.5188541671,737008.515381944,737008.511909722,737008.5084375,737008.504965278,737008.501493056,737008.498020833,737008.494548611,737008.4910763891,737008.4876041671,737008.484131944,737008.480659722,737008.4771875
737007.5882638891,737007.5847916671,737007.5813194441,737007.577847222,737007.574375,737007.570902778,737007.5674305559,737007.563958333,737007.560486111,737007.5570138891,737007.5535416671,737007.5500694441,737007.546597222,737007.543125,737007.539652778,737007.5361805559,737007.532708333,737007.529236111,737007.5257407409,737007.522268519,737007.518796296,737007.5153240741,737007.5118518521,737007.50837963,737007.504907407,737007.501435185,737007.497962963,737007.4944907409,737007.491018519,737007.487546296
737005.627337963,737005.623865741,737005.620393518,737005.616921296,737005.6134490741,737005.6099768521,737005.60650463,737005.603032407,737005.599560185,737005.596087963,737005.592615741,737005.589143518,737005.585671296,737005.5821990741,737005.5787268521,737005.57525463,737005.571782407,737005.568310185,737005.564837963,737005.561365741,737005.557893518,737005.554421296,737005.5509490741,737005.5474768521,737005.54400463,737005.540532407,737005.537060185,737005.533587963,737005.530115741,737005.526643518
